,filename,start_time,end_time,sentence,phoneme,speech,input_values,input_length,labels
86,comedy_78_first_12min,0.000,9.675,عزيزي المشاهد البرنامج ده مش برنامج كوميدي وبس ,"Ezyzy Alm$Ahd AlbrnAmj dh m$ brnAmj kwmydy wbs  
","tensor([0.0000, 0.0000, 0.0000,  ..., 0.0076, 0.0063, 0.0046])","[-0.00359432 -0.00359432 -0.00359432 ...  0.03143093  0.02549923
  0.01787277]",154800,"[24, 17, 35, 17, 35, 0, 6, 29, 30, 19, 6, 32, 14, 0, 6, 29, 7, 16, 31, 6, 30, 11, 0, 14, 32, 0, 30, 19, 0, 7, 16, 31, 6, 30, 11, 0, 28, 33, 30, 35, 14, 35, 0, 33, 7, 18, 0]"
87,comedy_78_first_12min,9.675,19.343,ده حالة انسانية استضفنا في البرنامج ده ناس كتير منهم الفنان الصحفي سواق التاكسي والمحامي وغيرهم كتير ,"dh HAlp <nsAnyp AstDfnA fy AlbrnAmj dh nAs ktyr mnhm AlfnAn AlSHfy swAq AltAksy wAlmHAmy wgyrhm ktyr  
","tensor([0.0029, 0.0040, 0.0028,  ..., 0.0199, 0.0328, 0.0395])",[0.01199395 0.01705188 0.01185345 ... 0.09039188 0.14996305 0.18059163],154688,"[14, 32, 0, 12, 6, 29, 8, 0, 6, 31, 18, 6, 31, 35, 8, 0, 6, 18, 9, 21, 26, 31, 6, 0, 26, 35, 0, 6, 29, 7, 16, 31, 6, 30, 11, 0, 14, 32, 0, 31, 6, 18, 0, 28, 9, 35, 16, 0, 30, 31, 32, 30, 0, 6, 29, 26, 31, 6, 31, 0, 6, 29, 20, 12, 26, 35, 0, 18, 33, 6, 27, 0, 6, 29, 9, 6, 28, 18, 35, 0, 33, 6, 29, 30, 12, 6, 30, 35, 0, 33, 25, 35, 16, 32, 30, 0, 28, 9, 35, 16, 0]"
88,comedy_78_first_12min,19.343,28.335,اضطرينا نعرضهم لضغوط كتير زي ما بيحصل في الواقع بالظبط عشان نعرف قد ايه هم بيحبوا البلد دي تعالوا نشوف النهارده حيحصل ايه ,"ADTrynA nErDhm lDgwT ktyr zy mA byHSl fy AlwAqE bAlZbT E$An nErf qd <yh hm byHbwA Albld dy tEAlwA n$wf AlnhArdh HyHSl <yh  
","tensor([ 0.0386,  0.0294,  0.0154,  ..., -0.0002, -0.0003,  0.0032])","[ 0.14678994  0.1116823   0.05755315 ... -0.00232942 -0.00279909
  0.01070384]",143872,"[6, 21, 22, 16, 35, 31, 6, 0, 31, 24, 16, 21, 32, 30, 0, 29, 21, 25, 33, 22, 0, 28, 9, 35, 16, 0, 17, 35, 0, 30, 6, 0, 7, 35, 12, 20, 29, 0, 26, 35, 0, 6, 29, 33, 6, 27, 24, 0, 7, 6, 29, 23, 7, 22, 0, 24, 19, 6, 31, 0, 31, 24, 16, 26, 0, 27, 14, 0, 6, 35, 32, 0, 32, 30, 0, 7, 35, 12, 7, 33, 6, 0, 6, 29, 7, 29, 14, 0, 14, 35, 0, 9, 24, 6, 29, 33, 6, 0, 31, 19, 33, 26, 0, 6, 29, 31, 32, 6, 16, 14, 32, 0, 12, 35, 12, 20, 29, 0, 6, 35, 32, 0]"
89,comedy_78_first_12min,99.444,109.108,بصوا يا جماعة احنا عمالين نجيب اشكال والوان بس انا حاسس ان الحلقة دي هتبقى جامدة ربنا يستر  معانا مين  عصام فرحات  اتفضل ,"bSwA yA jmAEp <HnA EmAlyn njyb >$kAl w>lwAn bs >nA HAss <n AlHlqp dy htbqY jAmdp rbnA ystr mEAnA myn ESAm frHAt <tfDl  
","tensor([-0.0039, -0.0038, -0.0035,  ..., -0.0120, -0.0150, -0.0123])","[-0.02550236 -0.02449013 -0.023073   ... -0.0789482  -0.09939528
 -0.08097266]",154624,"[7, 20, 33, 6, 0, 35, 6, 0, 11, 30, 6, 24, 8, 0, 6, 12, 31, 6, 0, 24, 30, 6, 29, 35, 31, 0, 31, 11, 35, 7, 0, 6, 19, 28, 6, 29, 0, 33, 6, 29, 33, 6, 31, 0, 7, 18, 0, 6, 31, 6, 0, 12, 6, 18, 18, 0, 6, 31, 0, 6, 29, 12, 29, 27, 8, 0, 14, 35, 0, 32, 9, 7, 27, 34, 0, 11, 6, 30, 14, 8, 0, 16, 7, 31, 6, 0, 35, 18, 9, 16, 0, 0, 30, 24, 6, 31, 6, 0, 30, 35, 31, 0, 0, 24, 20, 6, 30, 0, 26, 16, 12, 6, 9, 0, 0, 6, 9, 26, 21, 29, 0]"
90,comedy_78_first_12min,119.174,128.396,مراته دكتورة صيدلانية وعندها صيدلية في المعادي عنده بنت عندها ست سنين  اسمها  لجينة  لجينة  ربنا يخليها له يا رب المهم ,"mrAth dktwrp SydlAnyp wEndhA Sydlyp fy AlmEAdy Endh bnt EndhA st snyn AsmhA ljynp ljynp rbnA yxlyhA lh yA rb Almhm  
","tensor([ 0.0020,  0.0065,  0.0056,  ...,  0.0024, -0.0028, -0.0103])","[ 0.01463797  0.04831052  0.04107883 ...  0.01780184 -0.02084249
 -0.07666208]",147551,"[30, 16, 6, 9, 32, 0, 14, 28, 9, 33, 16, 8, 0, 20, 35, 14, 29, 6, 31, 35, 8, 0, 33, 24, 31, 14, 32, 6, 0, 20, 35, 14, 29, 35, 8, 0, 26, 35, 0, 6, 29, 30, 24, 6, 14, 35, 0, 24, 31, 14, 32, 0, 7, 31, 9, 0, 24, 31, 14, 32, 6, 0, 18, 9, 0, 18, 31, 35, 31, 0, 0, 6, 18, 30, 32, 6, 0, 0, 29, 11, 35, 31, 8, 0, 0, 29, 11, 35, 31, 8, 0, 0, 16, 7, 31, 6, 0, 35, 13, 29, 35, 32, 6, 0, 29, 32, 0, 35, 6, 0, 16, 7, 0, 6, 29, 30, 32, 30, 0]"
91,comedy_78_first_12min,128.396,135.097,عيد جوازه يوم خمسة خمسة  اوكي  نحتفل بيه ده طبعا ودي بتاعتك بقى يا فيكتور ,"Eyd jwAzh ywm xmsp xmsp >wky nHtfl byh dh TbEA wdy btAEtk bqY yA fyktwr  
","tensor([-0.0156, -0.0215, -0.0308,  ..., -0.0250, -0.0216, -0.0158])","[-0.12348954 -0.17066321 -0.24458483 ... -0.19862698 -0.1713927
 -0.12543485]",107217,"[24, 35, 14, 0, 11, 33, 6, 17, 32, 0, 35, 33, 30, 0, 13, 30, 18, 8, 0, 13, 30, 18, 8, 0, 0, 6, 33, 28, 35, 0, 0, 31, 12, 9, 26, 29, 0, 7, 35, 32, 0, 14, 32, 0, 22, 7, 24, 6, 0, 33, 14, 35, 0, 7, 9, 6, 24, 9, 28, 0, 7, 27, 34, 0, 35, 6, 0, 26, 35, 28, 9, 33, 16, 0]"
92,comedy_78_first_12min,135.097,144.107,كان قاعد عند كاريكا من تلات تيام عصام كاريكا الملحن عشان بيعمل له اغنية جديدة تمام وكان من عشر ايام في ال في الغردقة ,"kAn qAEd End kArykA mn tlAt tyAm ESAm kArykA AlmlHn E$An byEml lh >gnyp jdydp tmAm wkAn mn E$r >yAm fy Al fy Algrdqp  
","tensor([-1.3397e-02, -1.1871e-02, -1.1841e-02,  ..., -3.0518e-04,
        -6.1035e-05,  9.4604e-04])","[-0.09602983 -0.08509712 -0.08487846 ... -0.00222711 -0.00047787
  0.00673772]",144160,"[28, 6, 31, 0, 27, 6, 24, 14, 0, 24, 31, 14, 0, 28, 6, 16, 35, 28, 6, 0, 30, 31, 0, 9, 29, 6, 9, 0, 9, 35, 6, 30, 0, 24, 20, 6, 30, 0, 28, 6, 16, 35, 28, 6, 0, 6, 29, 30, 29, 12, 31, 0, 24, 19, 6, 31, 0, 7, 35, 24, 30, 29, 0, 29, 32, 0, 6, 25, 31, 35, 8, 0, 11, 14, 35, 14, 8, 0, 9, 30, 6, 30, 0, 33, 28, 6, 31, 0, 30, 31, 0, 24, 19, 16, 0, 6, 35, 6, 30, 0, 26, 35, 0, 6, 29, 0, 26, 35, 0, 6, 29, 25, 16, 14, 27, 8, 0]"
93,comedy_78_first_12min,144.107,153.788,كان رايح يصور كليب في فيلم وقعد اربع تيام هناك  هو دخل وبيمضي ولابس بنطلون ابيض وقميص مش باين لونه بصراحة  لا القميص يعني بينك في ابيض  توقيعك ,"kAn rAyH ySwr klyb fy fylm wqEd >rbE tyAm hnAk hw dxl wbymDy wlAbs bnTlwn >byD wqmyS m$ bAyn lwnh bSrAHp lA AlqmyS yEny bynk fy >byD twqyEk  
","tensor([ 0.0033,  0.0005, -0.0021,  ..., -0.0070, -0.0085, -0.0102])","[ 0.02923054  0.00482219 -0.01851327 ... -0.0608926  -0.07430378
 -0.0893243 ]",154896,"[28, 6, 31, 0, 16, 6, 35, 12, 0, 35, 20, 33, 16, 0, 28, 29, 35, 7, 0, 26, 35, 0, 26, 35, 29, 30, 0, 33, 27, 24, 14, 0, 6, 16, 7, 24, 0, 9, 35, 6, 30, 0, 32, 31, 6, 28, 0, 0, 32, 33, 0, 14, 13, 29, 0, 33, 7, 35, 30, 21, 35, 0, 33, 29, 6, 7, 18, 0, 7, 31, 22, 29, 33, 31, 0, 6, 7, 35, 21, 0, 33, 27, 30, 35, 20, 0, 30, 19, 0, 7, 6, 35, 31, 0, 29, 33, 31, 32, 0, 7, 20, 16, 6, 12, 8, 0, 0, 29, 6, 0, 6, 29, 27, 30, 35, 20, 0, 35, 24, 31, 35, 0, 7, 35, 31, 28, 0, 26, 35, 0, 6, 7, 35, 21, 0, 0, 9, 33, 27, 35, 24, 28, 0]"
94,comedy_78_first_12min,153.788,163.118,اوكي  شغل عالي جدا  لايق ع التحقيق  المهم طيب ,">wky $gl EAly jdA lAyq E AltHqyq Almhm Tyb  
","tensor([-0.0090, -0.0048, -0.0036,  ...,  0.0202,  0.0202,  0.0195])","[-0.10324869 -0.05471788 -0.04054831 ...  0.23540422  0.23575847
  0.2279652 ]",149280,"[6, 33, 28, 35, 0, 0, 19, 25, 29, 0, 24, 6, 29, 35, 0, 11, 14, 6, 0, 0, 29, 6, 35, 27, 0, 24, 0, 6, 29, 9, 12, 27, 35, 27, 0, 0, 6, 29, 30, 32, 30, 0, 22, 35, 7, 0]"
95,comedy_78_first_12min,183.385,188.880,ما تقلقش  واثقة من نفسها قوي قوي قوي قوي بما انك واثقة يلا بقى ,"mA tqlq$ wAvqp mn nfshA qwy qwy qwy qwy bmA <nk wAvqp ylA bqY  
","tensor([0.0234, 0.0248, 0.0217,  ..., 0.0560, 0.0530, 0.0479])",[0.11185187 0.1186833  0.10416652 ... 0.26399344 0.25004593 0.22613594],87920,"[30, 6, 0, 9, 27, 29, 27, 19, 0, 0, 33, 6, 10, 27, 8, 0, 30, 31, 0, 31, 26, 18, 32, 6, 0, 27, 33, 35, 0, 27, 33, 35, 0, 27, 33, 35, 0, 27, 33, 35, 0, 7, 30, 6, 0, 6, 31, 28, 0, 33, 6, 10, 27, 8, 0, 35, 29, 6, 0, 7, 27, 34, 0]"
